Description,ncRNA Name,Disease,PMID,Labels
Differentially expressed miRNAs in Ewing sarcoma compared to mesenchymal stem cells: low miR-31 expression with effects on proliferation and invasion.,miR-31,Ewing sarcoma,24667836,1
"c-Myc-induced,long,noncoding H19 affects cell proliferation and predicts a poor prognosis in patients with gastric cancer.",H19,gastric cancer,24671855,1
Detection of an activated JAK3 variant and a Xq26.3 microdeletion causing loss of PHF6 and miR-424 expression in myelodysplastic syndromes by combined targeted next generation sequencing and SNP array analysis.,PHF6//miR-424,myelodysplastic syndrome,24674452,1
Our findings reveal a new regulatory pathway of YY1/HDACs/miR-155/HBP1 in macrophage-derived foam cell formation during early atherogenesis and suggest that miR-155 is a potential therapeutic target for atherosclerosis.,miR-155,atherosclerosis,24675724,1
"Linc00963: a novel,long non-coding RNA involved in the transition of prostate cancer from androgen-dependence to androgen-independence.",LiNC00963,prostate cancer,24691949,1
miR-21 targets 15-PGDH and promotes cholangiocarcinoma growth.,miR-21,cholangiocarcinoma,24699315,1
Antisense long non-coding RNA PCNA-AS1 promotes tumor growth by regulating proliferating cell nuclear antigen in hepatocellular carcinoma.,PCNA-AS1,Cancer,24704293,1
Long non-coding RNA 91H contributes to the occurrence and progression of esophageal squamous cell carcinoma by inhibiting IGF2 expression.,91H//IGF2,esophageal squamous cell carcinoma,24706416,1
"Here we found that LncRNA ZXF1 levels were remarkably increased in lung adenocarcinoma tissues compared with adjacent non-cancerous lung tissues,and up-regulated LncRNA ZXF1 was correlated with lymph node metastasis,tumor pathological stage and the extent of lymph node metastasis.",ZXF1,lung adenocarcinoma,24721325,1
"MALAT1 plays a role in cell migration and tumor metastasis,as demonstrated by knockout of MALAT1 in lung cancer cell line(Gutschner et al.,2013).",MALAT1,lung cancer,24721780,1
PBMC and exosome-derived Hotair is a critical regulator and potent marker for rheumatoid arthritis.,HOtair,rheumatoid arthritis,24722995,1
"There was a significant increase in miR-210 expression in glioblastomas compared with anaplastic astrocytomas (p < 0.001), glioblastomas compared with diffuse astrocytomas(p < 0.001), and anaplastic astrocytomas compared with diffuse astrocytomas.",miR-210,glioblastomas,24729345,1
"The results demonstrated that the expression of miR-210 was significantly reduced in oligodendroglial tumours, compared with the mean expression levels observed in normal brain tissues.",miR-210,oligodendroglioma,24729345,1
LncRNA-UCA1 was upregulated by hypoxia in bladder cancer cells.,UCA1,bladder cancer,24737584,1
The long noncoding RNA MALAT1 induces lung cancer cell migration and plays a pivotal role in lung cancer metastasis,MALAT1,lung cancer,24742640,1
The results showed that HOTAIR expression in cervical cancer tissues was significantly upregulated compared with the matched nontumorous tissues (P < 0.0001).,HOTAIR,cervical cancer,24748337,1
miR-22 inhibits osteosarcoma cell proliferation and migration by targeting HMGB1 and inhibiting HMGB1-mediated autophagy.,miR-22,osteosarcoma,24752578,1
miR21 is upregulated in grade IV (glioblastoma multiforme (GBM)) vs.,miR21,glioblastoma multiforme,24755707,1
"Overexpressed MALAT1 was found in many solid tumors such as lung cancer,cervical cancer,and HCC.",MALAT1,lung cancer//cervical cancer,24757675,1
Our data showed that HOTAIR expression was higher in endometrial cancer cells and tissues than in normal endometrial tissues.,HOTAIR,endometrial cancer,24758900,1
MicroRNA-1 (miR-1) inhibits chordoma cell migration and invasion by targeting slug.,MicroRNA-1 (miR-1),chordoma,24760686,1
We found that AFB1 could up-regulate the expression of H19 and promote cell growth and invasion by hepatocellular carcinoma HepG2 cells.,AFB1//H19,Uveal melanoma,24761865,1
"In this study,we observed that the lncRNA-activated by TGF-β (lncRNA-ATB) was upregulated in hepatocellular carcinoma (HCC) metastases and associated with poor prognosis.",lncRNA-ATB,hepatocellular carcinoma,24768205,1
Lnc RNA HOTAIR functions as a competing endogenous-RNA-to regulate HER2 expression by sponging miR-331-3p in gastric cancer.,HOTAIR//HER2//miR-331-3p,gastric cancer,24775712,1
"In the 43 breast cancer tissues,PVT1 expression was significantly higher in those with the GG genotype than that in the GA or AA genotype.",PVT1,breast cancer,24780616,1
HOTAIR is a long non-coding RNA (lncRNA) that has been implicated with cancer but has not been studied in cardiac disease. We have found that HOTAIR levels are decreased in BAVs and in human aortic interstitial cells (AVICs) exposed to cyclic stretch.,HOTAIR,cardiac disease,24788418,1
"In this preclinical study,the consequences of decreased GAS5 expression for breast cancer cell survival following treatment with chemotherapeutic agents are addressed.",GAS5,breast cancer,24789445,1
MiR-145 inhibits osteosarcoma cells proliferation and invasion by targeting ROCK1.,MiR-145,osteosarcoma,24801908,1
MiR-34c inhibits osteosarcoma metastasis and chemoresistance.,MiR-34c,osteosarcoma,24802328,1
"MiR-101, downregulated in retinoblastoma, functions as a tumor suppressor in human retinoblastoma cells by targeting EZH2.",MiR-101,retinoblastoma,24807198,1
"Overexpression of lncRNA H19 enhances carcinogenesis and metastasis of gastric cancer;An H19 co-expression network identified ISM1 as a binding protein of H19, and its expression was positively correlated with that of H19; Our results suggest that the effect of H19 in GC is mediated by the direct upregulation of ISM1 and the indirect suppression of CALN1 expression via miR-675.",H19//ISM1//CALN1//miR-675,gastric cancer,24810858,1
Overexpression of-lncRNA-H19 enhances carcinogenesis and metastasis of gastric cancer.,H19,gastric cancer,24810858,1
Long-noncoding-RNA-SPRY4-IT1 is upregulated in esophageal squamous cell carcinoma and associated with poor prognosis.,SPRY4-IT1,esophageal squamous cell carcinoma,24810925,1
"The level of ncRuPAR in gastric cancer was low,and its expression level was associated with invasion depth,lymph node metastasis,distant metastasis,tumor size,and TNM stage. These findings indicate that ncRuPAR might be a potential marker for gastric cancer diagnosis. ncRuPAR might also be a tumor suppressor because it regulates the expression of PAR-1.",ncRuPAR,gastric cancer,24817013,1
"we observed a differential expression of another three miRNAs (miR-320, miR-320b and miR-629) between the progressive multifocal leukoencephalopathy (PML) and non-PML groups after 12 months of treatment (t12); and a positive correlation was found between therapy time and the expression of miR-320.",miR-320//miR-320b//miR-629,progressive multifocal leukoencephalopathy,24852919,1
"P53-regulated long non-coding RNA TUG1 affects cell proliferation in human non-small cell lung cancer, partly through epigenetically regulating HOXB7 expression.",TUG1,non-small cell lung cancer,24853421,1
"To identify how miR-200a contributes to meningioma pathogenesis at the molecular level, we used a comparative protein profiling approach using Gel-nanoLC-MS/MS and identified approximately 130 dysregulated proteins in miR-200a-overexpressing meningioma cells.",miR-200a,meningioma,24858044,1
Expression of miR-124 in a neuroblastoma cells line was sufficient to up-regulate a significant fraction of nervous system-specific Ezh2 target genes.,miR-124,neuroblastoma,24878960,1
Decreased expression of long noncoding RNA GAS5 indicates a poor prognosis and promotes cell proliferation in gastric cancer.,GAS5,gastric cancer,24884417,1
"In this study, we show that lncRNA UCA1 promotes glycolysis in bladder cancer cells, and that UCA1-induced hexokinase 2 (HK2) functions as an important mediator in this process. We further show that UCA1 activates mTOR to regulate HK2 through both activation of STAT3 and repression of microRNA143.",UCA1,bladder cancer,24890811,1
"highly expressed,can promote the metastasis of melanoma. The expression levels of UCA1 and Malat-1 lncRNAs had the potential to be prognostic indicators in metastasis of melanomas.",MUCA1//Malat-1,melanomas,24892958,1
Deep MicroRNA sequencing reveals downregulation of miR-29a in neuroblastoma central nervous system metastasis.,miR-29a,neuroblastoma,24898736,1
The lncUSMycN gene was coamplified with MYCN in 88 of 341 human neuroblastoma tissues.,lncUSMycN,neuroblastoma,24906397,1
H19 promotes pancreatic cancer metastasis by derepressing let-7's suppression on its target HMGA2-mediated EMT,H19,pancreatic cancer,24920070,1
linc-ROR was upregulated in breast tumor and ectopic overexpression of linc-ROR in immortalized human mammary epithelial cells induced an epithelial-to-mesenchymal transition (EMT) program.,Linc-ROR,breast tumor,24922071,1
GAS5-derived snoRNA expression was induced by DNA damage in a p53-dependent manner in colorectal cancer cell lines and their levels were not affected by DICER,GAS5,colorectal cancer,24926850,1
"In this study, we found that Sox2ot was up-regulated over two folds in 53.01% of human primary lung cancers (44/83).",Sox2ot,lung cancers,24927902,1
TRPM2-AS is overexpressed in prostate cancer (PCa).,TRPM2-AS,prostate cancer,24931166,1
"In the present study,it was identified that MALAT1 expression was upregulated in cervical cancer cell linecompared with normal cervical squamous cell samples.",MALAT1,cervical cancer,24932303,1
The expression of HOTAIR was markedly increased in gastric cancer tissues compared with adjacent non-tumoral tissues.,HOTAIR,gastric cancer,24949306,1
"The HOTAIR transcripts were expressed at higher levels in the tumor tissues compared with adjacent normal tissues (p < 0.0001),indicating that HOTAIR was frequently up-regulated in GBC.A positive correlation between c-Myc and HOTAIR mRNA levels was observed in gallbladder cancer tissues. ",HOTAIR,Gallbladder cancer,24953832,1
"miR-124 expression is negatively correlated with a hypoxic gene signature in glioblastoma patient samples, suggesting that low miR-124 levels contribute to pro-survival adaptive pathways in this disease.",miR-124,glioblastoma,24954504,1
"The expression levels of HMlincRNA717 in five gastric cancer cell lines, AGS, BGC-823, HGC-27, MGC-803, and SGC-7901, were significantly downregulated than those in normal gastric mucosal epithelial cell line GES-1.",HMlincRNA717,gastric cancer,24961350,1
"Compared to matched adjacent non-tumorous tissues, FER1L4 expression levels in 91.80 % (56/61) of gastric cancer tissues are significantly decreased.",FER1L4,gastric cancer,24961353,1
"BANCR was abnormally overexpressed in human malignant melanoma cell lines and tissues, and increased with tumor stages.",BANCR,malignant melanoma,24967732,1
"Our study revealed that miR-200a is a candidate tumor suppressor in neuroblastoma, through direct targeting of AP-2γ.",miR-200a,neuroblastoma,24969902,1
Results show that compared with adjacent nontumor tissues the expression level of ABHD11-AS1 in gastric cancer tissues was significantly increased.,ABHD11-AS1,gastric cancer,24984296,1
"In this study,we found that long non-coding RNA H19 (H19) and H19-derived microRNA-675 (miR-675) were significantly downregulated in the metastatic prostate cancer cell line M12 compared with the non-metastatic prostate epithelial cell line P69.",H19,prostate cancer,24988946,1
"In the present study, we first examined the function of UCA1 in 5637 bladder cancer cells, which express high levels of UCA1.",UCA1,bladder cancer,24993775,1
"The expression of SOX2 and SOX2OT is concordant in breast cancer,differentially expressed in estrogen receptor positive and negative breast cancer samples and that both are up-regulated in suspension culture conditions that favor growth of stem cell phenotypes.",SOX2//SOX2OT,breast cancer,25006803,1
"Among the tested lncRNAs,HOTAIR and NEAT1 were most highly expressed in lymph node metastasis. However,only HOTAIR was subsequently found to be involved in lung cancer cell motility and invasion,as assessed by in vitro migration and invasion assay.",HOTAIR//NEAT1,lung cancer,25010625,1
miR-421 may promote neuroblastoma cell growth and motility partially by targeting menin.,miR-421,neuroblastoma,25012242,1
"Here, we report that downregulated hsa-miR-1 and upregulated lncRNA urothelial cancer associated 1 (UCA1) were inversely expressed in bladder cancer.",hsa-miR-1//UCA1,bladder cancer,25015192,1
"Thus, miR-142-3p directly targets CD133 to regulate its ability to confer cancer and stem cell-like features in HCC.",miR-142-3p,HCC,25016284,1
"In agreement,we found a strong correlation between high EFNA3 expression and shorter metastasis-free survival in breast cancer patients.",EFNA3,breast cancer,25023702,1
LncRNAs MONC and MIR100HG are regulators of hematopoiesis and oncogenes in the development of myeloid leukemia,MONC//MIR100HG,myeloid leukemia,25027842,1
A novel long non-coding RNA FOXCUT and mRNA FOXC1 pair promote progression and predict poor prognosis in esophageal squamous cell carcinoma.,FOXCUT//FOXC1,esophagus squamous cell carcinoma,25031703,1
The long noncoding RNA SChLAP1 promotes aggressive prostate cancer and antagonizes the SWI/SNF complex,SChLAP1,prostate cancer,25035039,1
"The data confirmed that ASO3690, ENST00000491282, and XLOC_000575 were overexpressed in pulmonary adenocarcinoma, whereas AK124939 expression was decreased",ASO3690//ENST00000491282//XLOC_000575,pulmonary adenocarcinoma,25061321,1
The expression of HOTAIR was significantly elevated in various gastric cancer cell lines and tissues compared to normal control.,HOTAIR,gastric cancer,25063030,1
"Therefore,the data reported in the present study demonstrates that miR-181 is an important regulator in glioma.",miR-181,glioma,25070000,1
"MiR-7, inhibited indirectly by lincRNA HOTAIR, directly inhibits SETDB1 and reverses the EMT of breast cancer stem cells by downregulating the STAT3 pathway.",MiR-7//HOTAIR,rbeast cancer,25070049,1
"RP11-133F8.2 expression of EGFR exon 19 deletions in lung adenocarcinoma was significantly higher than wild-type EGFR tissues,while LOC440905 expression of EGFR exon 19 deletions in lung adenocarcinoma was significantly lower than wild-type EGFR tissues.",RP11-133F8.2//LOC440905,lung adenocarcinoma,25085781,1
"The expression of LOC100132354 was significantly higher in lung adenocarcinoma than in the adjacent tissues,while the expression of RPLP0P2 was significantly lower in lung adenocarcinoma than in the adjacent tissues.",LOC100132354,lung adenocarcinoma,25089627,1
"The expression of LOC100132354 was significantly higher in lung adenocarcinoma than in the adjacent tissues,while the expression of RPLP0P2 was significantly lower in lung adenocarcinoma than in the adjacent tissues.",RPLP0P2,lung adenocarcinoma,25089627,1
"The expression of exosomal miR-21 and HOTAIR was significantly higher in patients with laryngeal squamous cell carcinomaLSCC than those with vocal cord polyps, The patients with lymph node metastasis had higher serum exosomal miR-21 and HOTAIR expressions than those without.",miR-21//HOTAIR,laryngeal squamous cell carcinoma,25099764,1
"Overexpression of LCAL1 in normal BEAS-2B cells is proof of principle that this lncRNA is sufficient to affetc cellular growth independently of other common cancer mutations,thus highlighting the importance of LCAL1 in lung cancer biology.",LCAL1,lung cancer,25116943,1
"miR-338-3p is over-expressed in blood, CFS, serum and spinal cord from sporadic amyotrophic lateral sclerosis patients.",miR-338-3p,amyotrophic lateral sclerosis,25130371,1
The epigenetic regulation of SOX9 by miR-145 in human chondrosarcoma.,miR-145,chondrosarcoma,25145279,1
lncRNA HOTAIR expression was found to be elevated in renal carcinoma cells. ,HOTAIR,renal cell carcinoma,25149152,1
Suppressed expression of long non-coding RNA HOTAIR inhibits proliferation and tumourigenicity of renal carcinoma cells.,HOTAIR,renal carcinoma,25149152,1
The rs10965235 SNP in the CDKN2B-AS gene was significantly associated with endometriosis in this Korean population.,CDKN2B-AS1,endometriosis,25154675,1
"The expression of lincRNA-p21 was dramatically downregulated in atherosclerotic plaques of ApoE(-/-) mice,an animal model for atherosclerosis.",lincRNA-p21,atherosclerosis,25156994,1
Decreased expression of the long non-coding RNA FENDRR is associated with poor prognosis in gastric cancer and FENDRR regulates gastric cancer cell metastasis by affecting fibronectin1 expression.,FENDRR,gastric cancer,25167886,1
"Our results revealed that CCAT1 was significantly overexpressed in colon cancer tissues when compared with normal tissues,and its increased expression was correlated with patients' clinical stage,lymph nodes metastasis,and survival time after surgery.",CCAT1,colon cancer,25185650,1
"Together, these results show that GAS5 contributes to the pathogenesis of OA by acting as a negative regulator of miR-21 and thereby regulating cell survival.",GAS5//miR-21,OA,25196583,1
"Reciprocal regulation of PCGEM1 and miR-145 promote proliferation of LNCaP prostate cancer cells.To test this hypothesis, the interaction between PCGEM1 and miR-145 was examined using a luciferase reporter assay.",PCGEM1//miR-145,prostate cancer,25200485,1
"Increased level of long noncoding RNA MALAT1 promotes lung cancer brain metastasis by inducing EMT, which may be a promising prognosis factor and therapeutic target to treat lung cancer brain metastasis in future",MALAT1,lung cancer,25217850,1
miR-17-92 cluster promotes cholangiocarcinoma growth: evidence for PTEN as downstream target and IL-6/Stat3 as upstream activator.,miR-17-92,cholangiocarcinoma,25239565,1
The expression of lncRNA AC006050.3-003 was significantly lower in PR samples compared to the PD samples in another 60 lung squamous cell carcinoma patients.,AC006050.3-003,Lung squamous cell carcinoma,25250788,1
PVT1 showed higher expression in human gastric cancer tissues than in adjacent non-cancerous tissues and in SGC7901 paclitaxel-resistant cells compared with SGC7901 cells. PVT1 expression was correlated with lymph node invasion of gastric cancer.,PVT1,gastric cancer,25258543,1
The results showed that the expression level of AC138128.1 in GC was significantly decreased compared to that in NAT.,AC138128.1,gastric cancer,25260808,1
"Overexpression of MT1DP resulted in reduced cell proliferation and colony formation in soft agar,but increased apoptosis in liver cancer cells,whereas knockdown of this lncRNA had the opposite effetc,indicating that MT1DP acts as a tumor suppressor.",MT1DP,liver cancer,25261601,1
Polymorphisms and haplotypes of the miR-148/152 family are associated with the risk and clinicopathological features of gastric cancer in a Northern Chinese population.,miR-148/152,gastric cancer,25261908,1
"In the present study,our results showed that MALAT-1 expression levels were upregulated in pancreatic cancer tissues compared with adjacent noncancerous controls.",MALAT-1,pancreatic cancer,25269958,1
Our results support the potential of miR-215 as a prognostic predictor for breast cancer with its high expression in cancer tissues and its relationship with other clinicopathologic factors and survival.,miR-215,breast cancer,25270964,1
MiR-410 Is Overexpressed in Liver and Colorectal Tumors and Enhances Tumor Cell Growth by Silencing FHL1 via a Direct/Indirect Mechanism,MiR-410,Colorectal Tumors,25272045,1
Long noncoding RNA GAPLINC regulates CD44-dependent cell invasiveness and associates with poor prognosis of gastric cancer.,GAPLINC,gastric cancer,25277524,1
miR-382 inhibits osteosarcoma metastasis and relapse by targeting Y box-binding protein 1.,miR-382,osteosarcoma,25292190,1
The CACS8 SNP rs10505477 may contribute to the survival of gastric cancer and be a potential prognostic biomarker of gastric cancer.,CACS8,gastric cancer,25302443,1
"In conclusion, this study showed that miR-141 may contribute to the progression of bladder cancer and its upregulation may be independently associated with favorable prognosis of bladder cancer, suggesting that miR-141 might serve as a promising biological marker for further risk stratification in the management of bladder cancer.",miR-141,bladder cancer,25304371,1
"AK024556 (SPRY4-IT1) was highly up-regulated in human prostate cancer cell line PC3 but not in LNCaP, and siRNA knockdown of SPRY4-IT1 in PC3 cells inhibited cell proliferation and invasion and increased cell apoptosis.",SPRY4-IT1,prostate cancer,25307116,1
The downregulation of miR-144 is associated with the growth and invasion of osteosarcoma cells through the regulation of TAGLN expression.,miR-144,osteosarcoma,25318625,1
We identified miR-23a as a tumor suppressor in osteosarcoma. Our data clarify the mechanism of osteosarcoma progression and demonstrated the potential for exploiting miR-23a as a diagnostic marker for osteosarcoma.,miR-23a,osteosarcoma,25322765,1
HOTAIR was robustly expressed in the native basal-like breast cancer cells and inhibition of HOTAIR reduced the basal-like gene expression and growth.,HOTAIR,breast cancer,25328122,1
miR-382 inhibits tumor growth and enhance chemosensitivity in osteosarcoma.,miR-382,osteosarcoma,25344865,1
"Analysis of miR-34a expression in human medulloblastomas and medulloblastoma cell lines revealed significantly lower levels than in normal human cerebellum. Re-expression of miR-34a in human medulloblastoma cells reduced cell viability and proliferation, induced apoptosis and downregulated the miR-34a target genes, MYCN and SIRT1.",miR-34a,medulloblastomas,25348795,1
"We observed that miR-21, miR-146a and miR-182 were significantly over expressed in triple negative breast cancer.",miR-21//miR-146a//miR-182,triple negative breast cancer,25369070,1
The levels of plasma LINC00152 were significantly elevated in gastric cancer patients compared with healthy controls.,LINC00152,gastric cancer,25391424,1
miR-451 may play an important role in tumor growth and metastasis in osteosarcoma.,miR-451,osteosarcoma,25391425,1
"When all groups were compared versus control, miR-30c-5p, miR-223-3p, miR-302c-3p and miR-17-5p were found significantly deregulated for cirrhosis and HCC.",miR-30c-5p//miR-223-3p//miR-302c-3p and miR-17-5p,HCC,25394384,1
We found that GAS5 expression was markedly downregulated in cervical cancer tissues than in corresponding adjacent normal tissues.,GAS5,cervical cancer,25400758,1
"In this study, we demonstrated that GHET1 was upregulated in bladder cancer tissues compared to adjacent normal tissues and its over-expression correlates with tumor size, advanced tumor and lymph node status, and poor survival.",GHET1,bladder cancer,25400817,1
"miR-646 might be a tumor suppressor in osteosarcoma via the regulation of FGF2, which provided a potential prognostic biomarker and therapeutic target.",miR-646,osteosarcoma,25403884,1
The expression level of HOTAIR in cervical cancer tissues was higher than that in corresponding non-cancerous tissues.,HOTAIR,cervical cancer,25405331,1
Association of the miR-149 Rs2292832 polymorphism with papillary thyroid cancer risk and clinicopathologic characteristics in a Chinese population.,miR-149,papillary thyroid cancer,25406066,1
"Furthermore,in patients with breast cancer,high tumor NEAT1 expression correlates with poor survival,all of which are hallmarks of increased tumorigenesis.",NEAT1,breast cancer,25417700,1
"LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2.",LOC401317,nasopharyngeal carcinoma,25422887,1
"In our research, the MALAT1 messenger RNA (mRNA) was highly expressed in human osteosarcoma tissues, and its expression level was closely correlated with pulmonary metastasis. ",MALAT1,osteosarcoma,25431257,1
Our study showed that genetic variants in HOTAIR were associated with risk of colorectal cancer and rs7958904 may act as a potential biomarker for predicting the risk of colorectal cancer.,HOTAIR,colorectal cancer,25432874,1
HIF2PUT expression levels were positively correlated with HIF-2a in osteosarcoma tissues.,HIF2PUT,osteosarcoma,25434862,1
It showed that BC040587 expression was down regulated both in BC samples and in BC cell linecompared with corresponding normal control.,BC040587,BC,25435812,1
MiR-199a-3p promotes gastric cancer progression by targeting ZHX1.,MiR-199a-3p,gastric cancer,25448984,1
"MiR-132 prohibits proliferation, invasion, migration, and metastasis in breast cancer by targeting HN1.",MiR-132,breast cancer,25450545,1
We identified and validated high SChLAP1 expression as significantly prognostic for metastatic disease progression of prostate cancer.,SCHLAP1,prostate cancer,25456366,1
"In breast cancer tissues,we found that IRAIN lncRNA was transcribed from an intronic promoter in an antisense diretcion as compared to the IGF1R coding mRNA.",IRAIN//IGF1R,breast cancer,25465188,1
We found that AATBC was overexpressed in bladder cancer patient tissues and positively correlated with tumor grade and pT stage.,AATBC,bladder cancer,25473900,1
"miR-101 may act as a tumor suppressor, which is commonly downregulated in both osteosarcoma tissues and cells.",miR-101,osteosarcoma,25480586,1
"Our results indicated that lncRNA MALAT1 was highly expressed in pancreatic cancer compared with adjacent non-cancerous tissues,and positively correlated with clinical stage,tumor size,lymph node metastasis,and distant metastasis in pancreatic cancer patients.",MALAT1,pancreatic cancer,25481511,1
We found that there were significantly lower levels of LEIGC expression in gastric cancer tissue.,LEIGC,gastric cancer,25496320,1
"SChLAP1 expression increases with prostate cancer progression,and high SChLAP1 expression by ISH is associated with poor outcome after radical prostatetcomy in patients.",SChLAP1,prostate cancer,25499224,1
"Our study revealed that miR-200c/141 was downregulated by CpG island methylation and TGF-β signaling, which decreased ZEB1/2 expression and increased E-cadherin expression to inhibit migration and invasion of gastric cancer cells and provides powerful evidence for the application of decitabine in gastric cancer treatment.",miR-200c/141,gastric cancer,25502084,1
"Here,we report a novel function of PCGEM1 that provides growth advantages for prostate cancer cells by regulating tumor metabolism via c-Myc activation.",PCGEM1,prostate cancer,25512540,1
The expression levels of MDC1-AS and MDC1 was down-regulated in bladder cancer.,MDC1-AS1//MDC1,bladder cancer,25514464,1
We identified a lncRNA neuroblastoma associated transcript-1 (NBAT-1) as a biomarker significantly predicting clinical outcome of neuroblastoma.,NBAT-1,neuroblastoma,25517750,1
Urine MALAT-1 is a promising biomarker for predicting prostate cancer risk.,MALAT-1,prostate cancer,25526029,1
We report that miR-1290 directly targets the NAT1 3'-UTR and that NAT1 protein expression is correlated with improved OS of breast cancer patients.,miR-1290//NAT1,breast cancer,25528440,1
"The stimulation of colon cancer progression by TADC-derived CCL5 was associated with the up-regulation of non-coding RNA metastasis-associated lung adenocarcinoma transcript 1 (MALAT-1),which subsequently increased the expression of Snail.",MALAT1,colon cancer,25546229,1
Stable knockdown of HOTAIR significantly suppressed tumor growth and sensitized cervical cancer to radiotherapy in vivo.,HOTAIR,cervical cancer,25547435,1
kaplan-meier survival analysis showed that the lower expression of miR-125a-3p was associated with a poor prognosis of GBM patients.,miR-125a-3p,GBM,25560389,1
AGS human gastric carcinoma cell line showed an elevated level of CCAT1 expression.,CCAT1,gastric carcinoma,25561974,1
"In glioblastoma we identified 12 suitable lncRNAs,the top five are LUST (stability value 0.016),SNHG4 (stability value 0.019),EgoA (stability value 0.034),H19 upstream conserved 1 and 2 (stability value 0.035) and EGO B (stability value 0.036).",LUST//SNHG4//EgoA//H19,glioblastoma,25561975,1
The miR-212/Sox4 interaction plays an important role of in the osteosarcoma progression.,miR-212,osteosarcoma,25562164,1
SOX4 was oncogenic in chondrosarcoma and negatively regulated by miR-30a in vitro.,miR-30a,chondrosarcoma,25572678,1
HOTAIR over-expression and PCBP1 down-regulation and the ensuing malignant phenotype in both cultured and xenografts gastric cancer cells.,HOTAIR,gastric cancer,25612617,1
HOTAIR over-expression and PCBP1 down-regulation and the ensuing malignant phenotype in both cultured and xenografts gastric cancer cells.,HOTAIR,gastric cancer,25612617,1
HOTAIR Long Noncoding RNA Promotes Gastric Cancer Metastasis through Suppression of Poly r(C)-Binding Protein (PCBP) 1.,HOTAIR,Gastric Cancer,25612617,1
LncRNA MALAT1 expression was increased in glioma tissues compared with paired adjacent brain normal tissues.,MALAT1,glioma,25613066,1
Suppression of hepatocellular carcinoma by baculovirus-mediated expression of long non-coding RNA PTENP1 and MicroRNA regulation.,PTENP1,hepatocellular carcinoma,25617127,1
"miR-23a functions as a tumor suppressor in osteosarcoma, and its inhibitory effect on tumor are mediated chiefly through downregulation of SATB1.",miR-23a,osteosarcoma,25619478,1
miR-29s effectively blocked DNMT3A and 3B expression by degrading their mRNAs in U87MG glioblastoma cell line.,miR-29s,Glioblastoma,25625222,1
Targeting of Runx2 by miR-135 and miR-203 Impairs Progression of Breast Cancer and Metastatic Bone Disease.,miR-135//miR-203,Breast Cancer,25634212,1
expression of miR-3189-3p was downregulated in astrocytoma and glioblastoma clinical samples compared to control brain tissue.,miR-3189-3p,astrocytoma//glioblastoma,25645911,1
beta-Elemene inhibits the proliferation of esophageal squamous cell carcinoma by regulating long noncoding RNA-mediated inhibition of hTERT expression.,hTERT,esophageal squamous cell carcinoma,25646744,1
"MiR-204, down-regulated in retinoblastoma, regulates proliferation and invasion of human retinoblastoma cells by targeting CyclinD2 and MMP-9.",MiR-204,retinoblastoma,25647033,1
"RP4-583P15.10,an up-regulated lncRNA,was found to be located downstream of the natural antisense of the ZBTB46 gene,which may regulated breast cancer through influence immune system.",RP4-583P15.10,breast cancer,25661361,1
"miR-26b inhibits proliferation, migration, invasion and apoptosis induction via the downregulation of 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase-3 driven glycolysis in osteosarcoma cells.",miR-26bo,osteosarcoma,25672572,1
"ASLNC04080 was the most significantly upregulated lncRNA in microarray data,highly expressed in 22 out of 24 endometrial carcinoma tissues and HEC-1-B cell line.",ASLNC04080,endometrial carcinoma,25695231,1
"DRAIC expression predicts good prognosis in a wide range of malignancies,including bladder cancer,low-grade gliomas,lung adenocarcinoma,stomach adenocarcinoma,renal clear cell carcinoma,hepatocellular carcinoma,skin melanoma,and stomach adenocarcinoma.",DRAIC,bladder cancer//gliomas//lung adenocarcinoma//stomach adenocarcinoma//renal clear cell carcinoma//hepatocellular carcinoma//skin melanoma//stomach adenocarcinoma,25700553,1
"Moreover, we demonstrate that loss of imprinting at the chromosome 12qF1 region is associated with miRNA overexpression in human hepatocellular carcinoma and stem cells, suggesting initiation of precancerous changes in young mice deficient in miR-122.",miR-122,hepatocellular carcinoma,25707810,1
miR-137 and miR-197 Induce Apoptosis and Suppress Tumorigenicity by Targeting MCL-1 in Multiple Myeloma.,miR-137//miR-197,Multiple Myeloma,25724519,1
"TINCR is strongly upregulated in human gastric carcinoma (GC),where it was found to contribute to oncogenesis and cancer progression.",TINCR,gastric carcinoma,25728677,1
"HOTAIR was commonly overexpressed in osteosarcoma,which significantly correlated with advanced tumor stage,highly histological grade and poor prognosis.",HOTAIR,osteosarcoma,25728753,1
MicroRNA-10b inhibition reduces E2F1-mediated transcription and miR-15/16 activity in glioblastoma.,MicroRNA-10b,glioblastoma,25738367,1
SPRY4-IT1 expression was significantly upregulated in 48 breast cancer tumor tissues comparedwith normal tissues.,SPRY4-IT1,breast cancer tumor,25742952,1
"Inhibition of linc-UBC1 suppressed the proliferation,motility and invasion of gastric cancer cells.",linc-UBC1,gastric cancer,25755750,1
Our results suggest that miR-504 may be a prognostic predictor and be involved in tumorigencity as a tumor suppressor of malignant glioma.,miR-504,malignant glioma,25755767,1
Expression levels of lncRNA CCAT2 in gastric cancer tissues were significantly higher than those in adjacent non-tumor tissues.,CCAT2,gastric cancer,25755774,1
